Clash_ID,Date_Detected,Date_Resolved,Status,Priority,Clash_Type,Discipline_A,Element_Type_A,Element_ID_A,Discipline_B,Element_Type_B,Element_ID_B,Floor_Level,Zone,Grid_Location,Description,Clearance_Required_mm,Actual_Clearance_mm,Assigned_To,Resolution_Method,Resolution_Description,Cost_Impact,RFI_Number,Days_To_Resolve,Detection_Source,BIM_Model_Version
CLH-011,2025-08-18,2025-08-20,Resolved,Major,Hard Clash,Fire Protection,Sprinkler Branch - 50mm,FP-SB-0123,Mechanical,Return Duct - 500x300,MECH-D-0401,9,Residential,D3-D4,Sprinkler branch line running through return air duct.,50,0,FireStop Systems,Coordination,Lowered sprinkler branch 75mm below duct soffit. Adjusted head coverage pattern.,800,,2,BIM Coordination,v3.4
CLH-012,2025-08-25,2025-09-02,Resolved,Critical,Hard Clash,Mechanical,Exhaust Fan Unit,MECH-EF-0003,Structural,Transfer Beam,STR-TB-0002,5,Residential/Commercial,B3-C3,Rooftop-level exhaust fan unit support structure conflicts with transfer beam at level 5 commercial-residential transition.,0,0,FormTech Structures,Design Revision,Relocated exhaust fan 1.5m north. Added supplementary steel for new support location. Structural redesign of connection.,18500,RFI-062,8,BIM Coordination,v3.5
CLH-013,2025-09-01,2025-09-03,Resolved,Minor,Clearance,Plumbing,Domestic Water - 75mm,PLMB-DW-0045,Electrical,Fire Alarm Conduit - 20mm,ELEC-FA-0267,10,Residential,C2,Domestic water pipe and fire alarm conduit within 15mm at ceiling level.,50,15,Cascade Electrical,Coordination,Reclipped fire alarm conduit 50mm higher using existing support channel.,0,,2,BIM Coordination,v3.5
CLH-014,2025-09-08,2025-09-15,Resolved,Major,Hard Clash,Mechanical,ERV Unit,MECH-ERV-0012,Architectural,Corridor Bulkhead,ARCH-BH-0089,14,Residential,D2,Energy recovery ventilator unit height exceeds available space above corridor bulkhead.,0,-50,Westcoast Mechanical,Design Revision,Selected lower-profile ERV model. Raised bulkhead 75mm - coordinated with architect for minimum corridor height compliance.,6200,RFI-068,7,BIM Coordination,v3.5
CLH-015,2025-09-08,2025-09-10,Resolved,Minor,Clearance,Electrical,Data Cable Tray - 200mm,ELEC-CT-0156,Mechanical,Condensate Pipe - 25mm,MECH-P-0289,11,Residential,B2,Data tray and condensate pipe within 25mm - concern about condensation dripping on data cables.,75,25,Westcoast Mechanical,Coordination,Added drip pan under condensate pipe at crossing point. Insulated pipe for 1m either side.,350,,2,BIM Coordination,v3.5
CLH-016,2025-09-15,2025-09-22,Resolved,Critical,Hard Clash,Mechanical,Make-Up Air Unit Duct - 800x600,MECH-D-0456,Structural,Concrete Column,STR-COL-0023,Ground,Commercial,A3,Main make-up air duct from rooftop unit cannot clear structural column in ground floor commercial space.,0,0,Westcoast Mechanical,Design Revision,Split duct into two 400x600 ducts routed on either side of column. Added turning vanes and splitter damper.,7400,RFI-072,7,BIM Coordination,v3.6
CLH-017,2025-09-22,2025-09-24,Resolved,Major,Hard Clash,Plumbing,Vent Stack - 100mm,PLMB-V-0019,Fire Protection,Standpipe Riser - 150mm,FP-SP-0004,16,Residential,D1,Plumbing vent stack and fire standpipe riser in same chase - insufficient space for both.,75,0,FireStop Systems,Coordination,Offset standpipe riser 150mm into adjacent chase space. Coordinated with architectural for access panel relocation.,1800,,2,BIM Coordination,v3.6
CLH-018,2025-10-01,2025-10-08,Resolved,Major,Hard Clash,Electrical,Main Switchboard,ELEC-MSB-0001,Mechanical,Chilled Water Header,MECH-P-0002,P1,Parkade,A1-A2,Main electrical switchboard door swing conflicts with chilled water header pipe routing in P1 electrical room.,200,0,Cascade Electrical,Design Revision,Rerouted chilled water header to opposite wall of electrical room. Added 6m of pipe and 4 supports.,5400,RFI-076,7,BIM Coordination,v3.6
CLH-019,2025-10-06,2025-10-08,Resolved,Minor,Clearance,Fire Protection,Sprinkler Drop - 25mm,FP-SD-0234,Architectural,Ceiling Grid,ARCH-CG-0567,6,Residential,C4,Sprinkler drop location conflicts with ceiling grid T-bar. Head will not sit flush.,25,0,FireStop Systems,Coordination,Shifted sprinkler drop 100mm to align with ceiling grid module. Updated coverage calc - still compliant.,0,,2,BIM Coordination,v3.6
CLH-020,2025-10-13,2025-10-20,Resolved,Critical,Hard Clash,Mechanical,Garage Exhaust Duct - 1000x500,MECH-D-0478,Structural,PT Slab Edge,STR-PT-0201,P1,Parkade,E1-E4,Parkade exhaust duct requires 500mm depth but only 380mm available below PT slab at perimeter.,0,-120,Westcoast Mechanical,Design Revision,Redesigned duct as flat oval (1200x380). Structural confirmed slab edge can support modified hangers.,4200,RFI-079,7,BIM Coordination,v3.7
CLH-021,2025-10-20,2025-10-22,Resolved,Minor,Clearance,Plumbing,Recirculation Pipe - 25mm,PLMB-RC-0012,Mechanical,Insulated Supply Pipe - 100mm,MECH-P-0345,13,Residential,B3,Domestic hot water recirc pipe touching insulation of chilled water supply pipe at crossing.,50,0,Westcoast Mechanical,Coordination,Reclipped recirc pipe with 50mm standoff bracket at crossing.,0,,2,BIM Coordination,v3.7
CLH-022,2025-10-27,2025-11-05,Resolved,Major,Hard Clash,Electrical,Emergency Generator Exhaust,ELEC-GEN-0001,Architectural,Facade Panel,ARCH-FP-0234,Ground,Exterior,A1,Generator exhaust penetration location conflicts with curtain wall panel joint. Exhaust heat exceeds panel thermal rating.,150,0,GlassWorks Pacific,Design Revision,Relocated exhaust penetration 600mm east to solid spandrel panel zone. Added heat-resistant backing plate.,6800,RFI-083,9,BIM Coordination,v3.7
CLH-023,2025-11-03,2025-11-05,Resolved,Minor,Clearance,Mechanical,Thermostat,MECH-TSTAT-0089,Electrical,Light Switch,ELEC-SW-0445,15,Residential,C2,BAS thermostat and light switch gang box on same stud - insufficient mounting space.,75,30,Cascade Electrical,Coordination,Relocated light switch to adjacent stud bay. Updated architectural drawing.,0,,2,BIM Coordination,v3.8
CLH-024,2025-11-10,2025-11-17,Resolved,Major,Hard Clash,Fire Protection,Fire Damper,FP-FD-0056,Mechanical,Duct Silencer,MECH-SIL-0008,18,Residential,D3,Fire damper and duct silencer competing for same duct section at rated wall penetration.,0,0,FireStop Systems,Design Revision,Relocated silencer downstream of damper with required 2-duct-width straight run between. Extended duct run by 1.2m.,2800,RFI-089,7,BIM Coordination,v3.8
CLH-025,2025-11-17,2025-11-19,Resolved,Minor,Clearance,Plumbing,Roof Drain Leader - 100mm,PLMB-RD-0006,Electrical,Lighting Circuit Conduit - 20mm,ELEC-C-0478,21,Residential,B4,Roof drain leader and lighting conduit within 10mm at top floor ceiling.,50,10,Cascade Electrical,Coordination,Reclipped conduit with offset bracket.,0,,2,BIM Coordination,v3.8
CLH-026,2025-12-01,2025-12-09,Resolved,Critical,Hard Clash,Mechanical,Stairwell Pressurization Duct - 600x400,MECH-D-0512,Structural,Stair Landing Slab,STR-SL-0034,12,Core,Stair B,Stair pressurization duct cannot penetrate landing slab at specified location - conflicts with slab reinforcement.,0,0,FormTech Structures,Design Revision,Structural designed reinforced sleeve. Duct penetration shifted 300mm to avoid main reinforcement concentration.,7200,RFI-094,8,BIM Coordination,v3.9
CLH-027,2025-12-08,2025-12-10,Resolved,Minor,Clearance,Electrical,Security Conduit - 20mm,ELEC-SEC-0123,Plumbing,Gas Pipe - 25mm,PLMB-G-0034,Ground,Commercial,A4,Security conduit and gas pipe within 20mm - code requires 50mm minimum separation from gas.,50,20,Cascade Electrical,Coordination,Rerouted security conduit with 75mm standoff from gas pipe.,0,,2,BIM Coordination,v3.9
CLH-028,2025-12-15,2025-12-22,Resolved,Major,Hard Clash,Mechanical,AHU Supply Plenum,MECH-AHU-0002,Architectural,Mechanical Room Door,ARCH-DR-0045,P1,Parkade,B1,Air handling unit supply plenum extends across mechanical room door swing. Door cannot open fully.,300,0,Westcoast Mechanical,Design Revision,Redesigned plenum with 90-degree elbow to clear door swing. Door changed from 900mm to 800mm by architect.,3400,RFI-097,7,BIM Coordination,v3.9
CLH-029,2026-01-05,2026-01-12,Resolved,Major,Hard Clash,Fire Protection,Kitchen Hood Suppression Pipe - 25mm,FP-KS-0002,Mechanical,Exhaust Duct Connection,MECH-D-0534,Ground,Commercial,A3-A4,Kitchen fire suppression nozzle pipe conflicts with exhaust duct connection collar at hood.,50,0,FireStop Systems,Design Revision,Relocated suppression nozzle 150mm along hood rail. Updated suppression system coverage calculation.,2400,RFI-101,7,BIM Coordination,v4.0
CLH-030,2026-01-12,2026-01-14,Resolved,Minor,Clearance,Mechanical,FCU Condensate Pan,MECH-FCU-0134,Electrical,Receptacle Box,ELEC-RB-0678,17,Residential,C3,Fan coil unit condensate pan drip edge directly above electrical receptacle box in wall.,100,25,Cascade Electrical,Coordination,Extended condensate pan 50mm and added drip edge deflector away from receptacle.,200,,2,BIM Coordination,v4.0
CLH-031,2026-01-19,2026-01-28,Resolved,Critical,Hard Clash,Plumbing,Grease Interceptor Vent,PLMB-GI-0003,Structural,Foundation Wall,STR-FW-0012,P2,Parkade,A2,Grease interceptor vent penetration through P2 foundation wall conflicts with waterproofing membrane and rebar.,0,0,Pacific Builders Ltd,Design Revision,Waterproofing specialist designed puddle flange detail. Structural provided reinforcement modification for penetration.,11200,RFI-105,9,BIM Coordination,v4.0
CLH-032,2026-01-26,2026-01-28,Resolved,Minor,Clearance,Electrical,EV Charging Conduit - 40mm,ELEC-EV-0012,Plumbing,Sprinkler Lateral - 25mm,FP-SL-0345,P1,Parkade,D2,EV charger conduit and sprinkler lateral within 15mm at parkade ceiling.,50,15,Cascade Electrical,Coordination,Reclipped EV conduit with offset bracket at crossing point.,0,,2,BIM Coordination,v4.0
CLH-033,2026-02-02,2026-02-10,Resolved,Major,Hard Clash,Mechanical,Corridor Pressurization Duct - 400x300,MECH-D-0556,Architectural,Door Head Frame,ARCH-DR-0112,19,Residential,D2,Corridor pressurization duct soffit is 30mm below door head height. Cannot install door frame.,50,-30,Westcoast Mechanical,Design Revision,Reduced duct to 400x250 with increased velocity. Acoustic analysis confirmed noise level still acceptable.,1800,RFI-109,8,BIM Coordination,v4.1
CLH-034,2026-02-09,2026-02-11,Resolved,Minor,Clearance,Fire Protection,Smoke Detector,FP-SD-0089,Mechanical,Diffuser,MECH-DIFF-0234,20,Residential,C4,Smoke detector within 300mm of supply air diffuser - may cause false alarms per code.,900,280,FireStop Systems,Coordination,Relocated smoke detector 700mm from diffuser. Updated fire alarm drawing.,0,,2,BIM Coordination,v4.1
CLH-035,2026-02-16,2026-02-24,Resolved,Major,Hard Clash,Electrical,Transformer Vault Ventilation,ELEC-TV-0001,Structural,Retaining Wall,STR-RW-0008,P2,Parkade,E1,Transformer vault ventilation louver penetration conflicts with below-grade retaining wall waterproofing.,200,0,Pacific Builders Ltd,Design Revision,Rerouted ventilation to exit at P1 level above grade. Added 8m of ductwork and fire damper at rated wall.,8900,RFI-113,8,BIM Coordination,v4.1
CLH-036,2026-02-23,2026-02-25,Resolved,Minor,Clearance,Plumbing,Hose Bib Pipe - 20mm,PLMB-HB-0008,Electrical,Panel Board,ELEC-PB-0023,Ground,Commercial,B4,Hose bib supply pipe routed directly behind electrical panel board. Code clearance issue.,150,50,Cascade Electrical,Coordination,Rerouted hose bib pipe to enter from opposite side of wall.,0,,2,BIM Coordination,v4.1
CLH-037,2026-03-02,2026-03-10,Resolved,Major,Hard Clash,Mechanical,Smoke Control Damper,MECH-SCD-0004,Fire Protection,Rated Wall Assembly,FP-RW-0034,8,Residential,Stair A,Smoke control damper sleeve size exceeds rated wall assembly tested configuration. ULC listing issue.,0,0,FireStop Systems,Design Revision,Fire protection engineer redesigned wall penetration with larger tested assembly. Added 2-hour rated collar.,5600,RFI-117,8,BIM Coordination,v4.2
CLH-038,2026-03-09,2026-03-11,Resolved,Minor,Clearance,Electrical,Access Point Bracket,ELEC-AP-0045,Mechanical,Sprinkler Head,FP-SH-0567,21,Residential,B3,WiFi access point mounting bracket within 50mm of sprinkler head deflector clearance zone.,75,20,Cascade Electrical,Coordination,Relocated access point 200mm along ceiling grid. Updated wireless coverage heat map - no dead spots.,0,,2,BIM Coordination,v4.2
CLH-039,2026-03-16,,Open,Major,Hard Clash,Mechanical,Penthouse AHU Intake Louver,MECH-AHU-0004,Architectural,Parapet Wall,ARCH-PW-0006,Roof,Mechanical Penthouse,C1,Penthouse AHU fresh air intake louver size requires 1200mm opening but parapet wall section only allows 900mm.,0,-300,Westcoast Mechanical,Pending,Under review - options include parapet modification or split intake with two smaller louvers.,TBD,RFI-121,,BIM Coordination,v4.2
CLH-040,2026-03-16,,Open,Critical,Hard Clash,Plumbing,Rainwater Leader - 150mm,PLMB-RD-0009,Structural,Transfer Beam,STR-TB-0003,5,Core,B2,Rainwater leader from roof must pass through transfer beam at level 5. Beam is heavily reinforced - penetration may not be feasible.,0,0,FormTech Structures,Pending,Structural engineer reviewing. May need to reroute leader externally or split to two smaller leaders above transfer level.,TBD,RFI-122,,BIM Coordination,v4.2
CLH-041,2026-03-23,,Open,Minor,Clearance,Electrical,Intercom Conduit - 20mm,ELEC-IC-0034,Plumbing,Domestic Hot Water - 50mm,PLMB-DW-0078,Ground,Lobby,A3,Intercom conduit and DHW pipe within 10mm at lobby ceiling. Insulation contact concern.,50,10,Cascade Electrical,Pending,Awaiting coordination meeting Apr 1.,TBD,,,BIM Coordination,v4.2
CLH-042,2026-03-23,,Open,Major,Hard Clash,Fire Protection,Stair Pressurization Fan,FP-SPF-0002,Architectural,Rooftop Amenity Deck,ARCH-RD-0001,Roof,Exterior,Stair B,Stair B pressurization fan discharge conflicts with planned rooftop amenity deck layout. Noise and airflow concern for residents.,500,0,Pacific Builders Ltd,Pending,Architect and mechanical engineer reviewing fan relocation options. May require acoustic enclosure.,TBD,RFI-123,,BIM Coordination,v4.2
