Activity_ID,WBS_Code,Activity_Name,Phase,Discipline,Planned_Start,Planned_Finish,Actual_Start,Actual_Finish,Planned_Duration_Days,Actual_Duration_Days,Predecessor,Float_Days,Critical_Path,Percent_Complete,Status,Delay_Days,Delay_Reason
A6010,6.1,Interior Finishes - Floors 6-12,Interior,Architectural,2026-01-12,2026-03-06,2026-01-15,2026-03-11,40,42,A4010SS+20;A5020,5,No,100,Complete,3,
A6020,6.2,Interior Finishes - Floors 13-21,Interior,Architectural,2026-03-09,2026-05-15,2026-03-12,,,50,,A4020SS+20;A5030,5,No,35,In Progress,,
A6030,6.3,Common Area Finishes - Lobby and Amenities,Interior,Architectural,2026-02-16,2026-04-11,2026-02-19,,,40,,A6000,0,Yes,45,In Progress,,
A7000,7.0,Fire Protection Systems,Interior,Fire Protection,2025-12-01,2026-03-27,2025-12-04,,,85,,A5010,3,No,82,In Progress,3,
A7010,7.1,Building Automation System,Interior,Electrical,2026-01-05,2026-04-17,2026-01-08,,,75,,A5020,3,No,70,In Progress,,
A7020,7.2,Electrical Switchgear and Distribution,Interior,Electrical,2025-10-06,2025-12-19,2025-10-09,2025-12-24,55,57,A3030SS+10,5,No,100,Complete,3,
A8000,8.0,Landscaping and Hardscaping,Exterior,Civil,2026-04-13,2026-05-22,,,30,,A6030,5,No,0,Not Started,,
A8010,8.1,Parking and Loading Dock Finishes,Exterior,Civil,2026-03-16,2026-04-18,2026-03-19,,,25,,A5000,10,No,15,In Progress,,
A9000,9.0,Commissioning - MEP Systems,Closeout,General,2026-04-20,2026-05-23,,,25,,A7000;A7010,0,Yes,0,Not Started,,
A9010,9.1,Commissioning - Fire and Life Safety,Closeout,Fire Protection,2026-04-27,2026-05-23,,,20,,A7000,0,Yes,0,Not Started,,
A9020,9.2,Deficiency Walkthrough and Remediation,Closeout,General,2026-05-26,2026-06-13,,,15,,A9000;A9010,0,Yes,0,Not Started,,
A9030,9.3,Final Inspections and Occupancy Permit,Closeout,General,2026-06-09,2026-06-20,,,10,,A9020SS+10,0,Yes,0,Not Started,,
A9040,9.4,Owner Handover and Project Closeout,Closeout,General,2026-06-16,2026-06-27,,,10,,A9030SS+5,0,Yes,0,Not Started,,
